survey_mode,persona_id,target_audience_name,question_index,question,question_topic,persona_alignment,reasoning_nuance,decision_coherence,judge_reasoning,raw_judgement
legacy,profile_31_20260206_022550,fathers,1,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением 'Я стараюсь не брать деньги в долг',,5.0,4.3,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 4.3}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 4}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_31_20260206_022550,fathers,2,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я чувствую себя финансово обеспеченным(ной),,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_31_20260206_022550,fathers,5,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Меня раздражает реклама,,4.3,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_31_20260206_022550,fathers,7,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Мне интересны люди и обычаи других культур,,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_547_20260206_022550,mothers,4,"Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я покупаю вещи скорее удобные, чем модные",,5.0,4.3,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 4.3}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 4}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_547_20260206_022550,mothers,7,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Мне интересны люди и обычаи других культур,,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_750_20260206_022550,mothers,1,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением 'Я стараюсь не брать деньги в долг',,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_750_20260206_022550,mothers,2,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я чувствую себя финансово обеспеченным(ной),,5.0,5.0,4.3,,"{""combined_scores"": {""decision_coherence"": 4.3, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 4, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_750_20260206_022550,mothers,3,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я доверяю информации в газетах,,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_670_20260206_022550,mothers,6,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я хожу на работу прежде всего из-за денег,,4.3,5.0,3.5999999999999996,,"{""combined_scores"": {""decision_coherence"": 3.5999999999999996, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 3, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_472_20260206_022550,fathers,0,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Покупка акций и ценных бумаг слишком рискованна для меня,,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_472_20260206_022550,fathers,3,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я доверяю информации в газетах,,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_472_20260206_022550,fathers,4,"Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я покупаю вещи скорее удобные, чем модные",,5.0,4.3,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 4.3}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 4}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_472_20260206_022550,fathers,6,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я хожу на работу прежде всего из-за денег,,4.3,5.0,4.3,,"{""combined_scores"": {""decision_coherence"": 4.3, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 4, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_906_20260206_022550,mothers,0,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Покупка акций и ценных бумаг слишком рискованна для меня,,4.3,5.0,4.3,,"{""combined_scores"": {""decision_coherence"": 4.3, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 4, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
legacy,profile_906_20260206_022550,mothers,5,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Меня раздражает реклама,,4.3,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_31_20260206_022550,fathers,1,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением 'Я стараюсь не брать деньги в долг',financial_self_view,5.0,4.3,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 4.3}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 4}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_31_20260206_022550,fathers,2,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я чувствую себя финансово обеспеченным(ной),financial_self_view,5.0,5.0,4.3,,"{""combined_scores"": {""decision_coherence"": 4.3, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 4, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_31_20260206_022550,fathers,5,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Меня раздражает реклама,advertising_attitudes,4.3,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_31_20260206_022550,fathers,7,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Мне интересны люди и обычаи других культур,openness_social,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_547_20260206_022550,mothers,4,"Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я покупаю вещи скорее удобные, чем модные",general,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_547_20260206_022550,mothers,7,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Мне интересны люди и обычаи других культур,openness_social,5.0,4.3,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 4.3}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 4}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_750_20260206_022550,mothers,1,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением 'Я стараюсь не брать деньги в долг',financial_self_view,5.0,4.3,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 4.3}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 4}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_750_20260206_022550,mothers,2,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я чувствую себя финансово обеспеченным(ной),financial_self_view,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_750_20260206_022550,mothers,3,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я доверяю информации в газетах,trust_media,4.3,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_670_20260206_022550,mothers,6,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я хожу на работу прежде всего из-за денег,financial_self_view,4.3,5.0,4.3,,"{""combined_scores"": {""decision_coherence"": 4.3, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 4, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_472_20260206_022550,fathers,0,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Покупка акций и ценных бумаг слишком рискованна для меня,financial_risk,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_472_20260206_022550,fathers,3,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я доверяю информации в газетах,trust_media,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_472_20260206_022550,fathers,4,"Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я покупаю вещи скорее удобные, чем модные",general,5.0,4.3,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 4.3}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 4}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_472_20260206_022550,fathers,6,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Я хожу на работу прежде всего из-за денег,financial_self_view,4.3,5.0,4.3,,"{""combined_scores"": {""decision_coherence"": 4.3, ""persona_alignment"": 4.3, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 4, ""persona_alignment"": 4, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
structured,profile_906_20260206_022550,mothers,0,Вам интервьюер Росиндекса задает вопрос: Согласны ли вы с утверждением: Покупка акций и ценных бумаг слишком рискованна для меня,financial_risk,5.0,5.0,5.0,,"{""combined_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}, ""llm_scores"": {""decision_coherence"": 5, ""persona_alignment"": 5, ""reasoning"": """", ""reasoning_nuance"": 5}, ""reasoning"": """", ""rule_scores"": {""decision_coherence"": 5.0, ""persona_alignment"": 5.0, ""reasoning_nuance"": 5.0}}"
